日期,收盤價,收盤價_調整後,日期,波段低點,波段高點,波段標記,波段低點區間,波段高點區間,波段低點,波段高點
2000/1/4,8756.55,10,36529,0,0,0,0,1,0,0
2000/1/5,8849.87,10.107,36530,0,0,0,0,1,0,0
2000/1/6,8922.03,10.189877,36531,0,0,0,0,1,0,0
2000/1/7,8845.47,10.102244,36532,0,0,0,0,1,0,0
2000/1/10,9102.6,10.39622,36535,0,0,0,0,1,0,0
2000/1/11,8927.03,10.195573,36536,0,0,0,0,1,0,0
2000/1/12,9144.65,10.444345,36537,0,0,0,0,1,0,0
2000/1/13,9107.19,10.401523,36538,0,0,0,0,1,0,0
2000/1/14,9023.24,10.305829,36539,0,0,0,0,1,0,0
2000/1/15,9191.37,10.497517,36540,0,0,0,0,1,0,0
2000/1/17,9315.43,10.639234,36542,0,0,0,0,1,0,0
2000/1/18,9250.19,10.564759,36543,0,0,0,0,1,0,0
2000/1/19,9151.44,10.451716,36544,0,0,0,0,1,0,0
2000/1/20,9136.95,10.434993,36545,0,0,0,0,1,0,0
2000/1/21,9255.94,10.570648,36546,0,0,0,0,1,0,0
2000/1/24,9387.07,10.720752,36549,0,0,0,0,1,0,0
2000/1/25,9372.37,10.737905,36550,0,0,0,0,1,0,0
2000/1/26,9581.96,10.978434,36551,0,0,0,0,1,0,0
2000/1/27,9628.98,11.032228,36552,0,0,0,0,1,0,0
2000/1/28,9696.91,11.110557,36553,0,0,0,0,1,0,0
2000/1/29,9636.38,11.041672,36554,0,0,0,0,1,0,0
2000/1/31,9744.89,11.166442,36556,0,0,0,0,1,0,0
2000/2/1,9856.39,11.29374,36557,0,0,0,0,1,0,0
2000/2/9,10008.9,11.468793,36565,0,0,0,0,1,0,0
2000/2/10,10057.7,11.52499,36566,0,0,0,0,1,0,0
2000/2/11,10128.7,11.606817,36567,0,0,0,0,1,0,0
2000/2/14,9971.45,11.426912,36570,0,0,0,0,1,0,0
2000/2/15,9957.74,11.410914,36571,0,0,0,0,1,0,0
2000/2/16,10064.5,11.533011,36572,0,0,0,0,1,0,0
2000/2/17,10202.2,11.691013,36573,0,1,0,0,1,0,10202.2
2000/2/18,10096.4,11.569427,36574,0,0,0,0,1,0,0
2000/2/19,10161,11.643471,36575,0,0,0,0,1,0,0
2000/2/21,9912.67,11.35937,36577,0,0,0,0,1,0,0
2000/2/22,9731.93,11.15263,36578,0,0,0,0,1,0,0
2000/2/23,9642.26,11.050025,36579,0,0,0,0,1,0,0
2000/2/24,9599.17,11.0003,36580,0,0,0,0,1,0,0
2000/2/25,9432.49,10.808895,36581,0,0,0,0,1,0,0
2000/2/29,9435.94,10.813219,36585,0,0,0,0,1,0,0
2000/3/1,9689.1,11.103013,36586,0,0,0,0,1,0,0
2000/3/2,9543.82,10.936468,36587,0,0,0,0,1,0,0
2000/3/3,9588.03,10.986775,36588,0,0,0,0,1,0,0
2000/3/4,9517.97,10.906572,36589,0,0,0,0,1,0,0
2000/3/6,9367.91,10.734248,36591,0,0,0,0,1,0,0
2000/3/7,9380.07,10.748203,36592,0,0,0,0,1,0,0
2000/3/8,9389.49,10.758951,36593,0,0,0,0,1,0,0
2000/3/9,9587.27,10.985965,36594,0,0,0,0,1,0,0
2000/3/10,9429.6,10.805795,36595,0,0,0,0,1,0,0
2000/3/13,8811.95,10.098015,36598,0,0,0,0,1,0,0
