日期,加權指數,收盤價_調整後,波段低點區間,波段高點區間,composite_signal_buy,composite_signal_sell,"交叉向上(MA(5),MA(67))","交叉向下(MA(5),MA(67))","交叉向上(MA(22),MA(126))","交叉向下(MA(22),MA(126))","交叉向上(MA(67),MA(252))","交叉向下(MA(67),MA(252))",收盤<MA(10yr),交叉向上_Kd(日),交叉向下_Kd(日),交叉向上_Kd(週),交叉向下_Kd(週),交叉向上_Kd(月),交叉向上_Kd(月)_且_D<40,交叉向下_Kd(月),交叉向上_Kd(季),交叉向下_Kd(季),交叉向上_Kd(週)_且_D<20,交叉向下Kd(週)_且_D>80,交叉向上Kd(月)_且_D<20,交叉向下_Kd(月)_且_D>80,交叉向上_Kd(季)_且_D<20,交叉向下_Kd(季)_且_D>80,Kd(日)_D<20,"交叉向上(Kd(日)_D,20)",Kd(日)_D>80,Kd(週)_D<20,"交叉向上(Kd(週)_D,20)",Kd(週)_D>80,Kd(月)_D<20,Kd(月)_D>80,Kd(月)_D交叉向下80,Kd(季)_D<20,Kd(季)_D>77,"交叉向上(RSI(日,5),RSI(日,10))","交叉向下(RSI(日,5),RSI(日,10))","交叉向上(RSI(週,5),RSI(週,10))","交叉向下(RSI(週,5),RSI(週,10))","交叉向上(RSI(月,5),RSI(月,10))","交叉向下(RSI(月,5),RSI(月,10))","交叉向上(RSI(季,5),RSI(季,10))","交叉向下(RSI(季,5),RSI(季,10))","交叉向上(RSI(週,5),RSI(週,10))_且_D<20","交叉向下(RSI(週,5),RSI(週,10))_且_D>80","交叉向上(RSI(月,5),RSI(月,10))_且_D<20","交叉向下(RSI(月,5),RSI(月,10))_且_D>80","交叉向上(RSI(季,5),RSI(季,10))_且_D<20","交叉向下(RSI(季,5),RSI(季,10))_且_D>80","RSI(日,10)_D<20","RSI(日,10)_D>80","RSI(週,10)_D<20","RSI(週,10)_D>80","RSI(月,10)_D<20","RSI(月,10)_D>80","RSI(季,10)_D<20","RSI(季,10)_D>80",DIF_MACD(日)轉正,DIF_MACD(日)轉負,DIF_MACD(週)轉正,DIF_MACD(週)轉負,DIF_MACD(月)轉正,DIF_MACD(月)轉負,DIF_MACD(季)轉正,DIF_MACD(季)轉負,DIF_MACD(日)連續三期(1d)向上趨勢,DIF_MACD(日)連續三期(1d)向下趨勢,DIF_MACD(週)連續三期(5d)向上趨勢,DIF_MACD(週)連續三期(5d)向下趨勢,DIF_MACD(月)連續三期(22d)向上趨勢,DIF_MACD(月)連續三期(22d)向下趨勢,DIF_MACD(季)連續三期(67d)向上趨勢,DIF_MACD(季)連續三期(67d)向下趨勢,PB<1.5,PB>2.3,"百分位(PB,3yr)<0.2","百分位(PB,3yr)>0.9","百分位(PB,5yr)<=0.2","百分位(PB,5yr)>=0.9",TSE_OTC_Spread>1.5%(TSE漲1%),TSE_OTC_Spread>1.5%價差(大盤跌1%),TSE_OTC_Spread<-1.5%價差(大盤漲1%),TSE_OTC_Spread<-1.5%價差(大盤跌1%),TSE_OTC_Spread>2%,TSE_OTC_Spread<-2%,OFR_FSI > 4,"百分位(OFR_FSI,1yr)>0.9","百分位數(OFR_FSI,1yr)>0.9_且_OFR_FSI>0","百分位數(OFR_FSI,1yr)>0.9_且_OFR_FSI<0","Z(OFR_FSI,1yr)>2","Z(OFR_FSI,1yr)>2_且_OFR_FSI>0","Z(OFR_FSI,1yr)>2_且_OFR_FSI<0",景氣燈號(紅燈),景氣燈號(黃紅燈+紅燈),景氣燈號(黃紅燈+紅燈+綠燈),景氣燈號(藍燈),景氣燈號(黃藍燈+藍燈),領先指標<98,領先指標>103,"交叉向上(領先指標,同時指標)","交叉向上(領先指標,落後指標)","交叉向下(領先指標,同時指標)","交叉向下(領先指標,落後指標)",PMI_TW<47,CLI_G20<98,CLI_G20>101,M1B_YoY<5,M1B_YoY>10,M2_YoY<4,M2_YoY>7,M1B_YoY-M2_YoY>8,總市值/M1B<1.6,總市值/M1B>2.1,總市值/M2<0.55,總市值/M2>0.75,"交叉向上(M1B_YoY,M1B_YoY_AVG(T12))","交叉向下(M1B_YoY,M1B_YoY_AVG(T12))","交叉向上(M2_YoY,M2_YoY_AVG(T12))","交叉向下(M2_YoY,M2_YoY_AVG(T12))","交叉向上(M1B_YoY,M2_YoY)","交叉向下(M1B_YoY,M2_YoY)",總市值/GDP<1.4,總市值/GDP>1.7,PE<13,PE>25,"百分位(PE,3yr)<0.05","百分位(PE,3yr)<0.05_且_PE<20","百分位(PE,3yr)>0.9","百分位(PE,3yr)>0.9_且_PE>20","百分位(PE,5yr)<=0.05","百分位(PE,5yr)>0.95",總市值/月營收<0.9,總市值/月營收>1.2
2000/1/4,8756.55,10,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000/1/5,8849.87,10.107,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0
2000/1/6,8922.03,10.189877,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0
2000/1/7,8845.47,10.102244,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0
2000/1/10,9102.6,10.39622,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,1,0,0
2000/1/11,8927.03,10.195573,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0
2000/1/12,9144.65,10.444345,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0
2000/1/13,9107.19,10.401523,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,,,,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,1,0,0
2000/1/14,9023.24,10.305829,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,,,,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,1,0,0
2000/1/15,9191.37,10.497517,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,,,,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,1,0,0
