indicator_id,sn_008,sn_009,sn_010,sn_011,sn_012,sn_013,sn_014,sn_015,sn_016,sn_017,sn_018,sn_019,sn_020,sn_021,sn_022,sn_023,sn_024,sn_025,sn_026,sn_027,sn_028,sn_029,sn_030,sn_031,sn_032,sn_033,sn_034,sn_035,sn_036,sn_037,sn_038,sn_039,sn_040,sn_041,sn_042,sn_043,sn_044,sn_045,sn_046,sn_047,sn_048,sn_049,sn_050,sn_051,sn_052,sn_053,sn_054,sn_055,sn_056,sn_057,sn_058,sn_059,sn_060,sn_061,sn_062,sn_063,sn_064,sn_065,sn_066,sn_067,sn_068,sn_069,sn_070,sn_071,sn_072,sn_073,sn_074,sn_075,sn_076,sn_077,sn_078,sn_079,sn_080,sn_081,sn_082,sn_083,sn_084,sn_085,sn_086,sn_087,sn_088,sn_089,sn_090,sn_091,sn_092,sn_093,sn_094,sn_095,sn_096,sn_097,sn_098,sn_099,sn_100,sn_101,sn_102,sn_103,sn_104,sn_105,sn_106,sn_107,sn_108,sn_109,sn_110,sn_111,sn_112,sn_113,sn_114,sn_115,sn_116,sn_117,sn_118,sn_119,sn_120,sn_121,sn_122,sn_123,sn_124,sn_125,sn_126,sn_127,sn_128,sn_129,sn_130,sn_131,sn_132,sn_133,sn_134,sn_135,sn_136,sn_137,sn_138
col_id,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138
訊號類型,signal,signal,signal,signal,signal,signal,status,signal,signal,signal,signal,signal,signal,signal,signal,signal,signal,signal,signal,signal,signal,signal,status,signal,status,status,signal,status,status,status,signal,status,status,signal,signal,signal,signal,signal,signal,signal,signal,signal,signal,signal,signal,signal,signal,status,status,status,status,status,status,status,status,signal,signal,signal,signal,signal,signal,signal,signal,signal,signal,signal,signal,signal,signal,signal,signal,valuation,valuation,valuation,valuation,valuation,valuation,signal,signal,signal,signal,signal,signal,status,status,status,status,status,status,status,status,status,status,status,status,status,status,signal,signal,signal,signal,status,status,status,status,status,status,status,status,valuation,valuation,valuation,valuation,signal,signal,signal,signal,signal,signal,valuation,valuation,valuation,valuation,valuation,valuation,valuation,valuation,valuation,valuation,valuation,valuation
來源資料,價格,價格,價格,價格,價格,價格,價格,價格,價格,價格,價格,價格,價格,價格,價格,價格,價格,價格,價格,價格,價格,價格,價格,價格,價格,價格,價格,價格,價格,價格,價格,價格,價格,價格,價格,價格,價格,價格,價格,價格,價格,價格,價格,價格,價格,價格,價格,價格,價格,價格,價格,價格,價格,價格,價格,價格,價格,價格,價格,價格,價格,價格,價格,價格,價格,價格,價格,價格,價格,價格,價格,其他,其他,其他,其他,其他,其他,價格,價格,價格,價格,價格,價格,OFR_FSI,OFR_FSI,OFR_FSI,OFR_FSI,OFR_FSI,OFR_FSI,OFR_FSI,景氣綜合指標,景氣綜合指標,景氣綜合指標,景氣綜合指標,景氣綜合指標,景氣綜合指標,景氣綜合指標,景氣綜合指標,景氣綜合指標,景氣綜合指標,景氣綜合指標,PMI,G20_CLI,G20_CLI,貨幣供給,貨幣供給,貨幣供給,貨幣供給,貨幣供給,貨幣供給,貨幣供給,貨幣供給,貨幣供給,貨幣供給,貨幣供給,貨幣供給,貨幣供給,貨幣供給,貨幣供給,GDP,GDP,其他,其他,其他,其他,其他,其他,其他,其他,月營收,月營收
Num_signal,84,75,34,30,16,14,1536,931,986,354,398,187,43,183,60,55,19,168,9,75,0,2,403,71,1097,254,22,1433,200,1201,40,0,792,1134,1181,533,564,221,248,198,170,0,0,0,3,0,0,62,156,59,159,0,262,0,1574,238,239,74,75,22,22,24,24,1751,1865,604,731,166,177,221,255,543,451,1225,785,1263,717,62,48,15,34,76,39,932,885,591,294,533,356,177,349,948,3141,1239,2939,928,1535,12,9,13,9,364,969,980,1737,1635,1568,985,1072,308,1071,864,1692,19,19,25,24,10,11,2113,1274,663,1078,816,804,945,906,788,718,551,667
有效性_Accuracy,0.786054925,0.789343858,0.790823878,0.792797237,0.792632791,0.792797237,0.66600888,0.702516034,0.698075974,0.75793455,0.758263444,0.775859234,0.792303897,0.779805953,0.787699392,0.788028285,0.793290577,0.783588226,0.794441704,0.790988324,0.794770597,0.794441704,0.757770104,0.788521625,0.692320342,0.77602368,0.793455024,0.694951488,0.787863838,0.720934057,0.793455024,0.794770597,0.81713534,0.68557803,0.681137971,0.739680974,0.743792139,0.771254728,0.775694787,0.774872554,0.781943759,0.794770597,0.794770597,0.794770597,0.794935044,0.794770597,0.794770597,0.791810557,0.781943759,0.792961684,0.79361947,0.794770597,0.796415063,0.794770597,0.688209176,0.771254728,0.772570301,0.787534945,0.789343858,0.791975004,0.792797237,0.791317218,0.790823878,0.623910541,0.610097024,0.735076468,0.712711725,0.773721427,0.776845914,0.773228087,0.766650222,0.758592337,0.801184016,0.699391547,0.766321329,0.699720441,0.764019076,0.789672751,0.790823878,0.79361947,0.791481664,0.787863838,0.791646111,0.708765006,0.730636408,0.749218878,0.776188127,0.763690183,0.775201447,0.793290577,0.762374609,0.775365894,0.484459793,0.688702516,0.508633448,0.750863345,0.742641013,0.79411281,0.79361947,0.79361947,0.79361947,0.764183522,0.730965302,0.747081072,0.588390067,0.704818286,0.624403881,0.717974017,0.714520638,0.785561585,0.75842789,0.734583128,0.709587239,0.793126131,0.792632791,0.792632791,0.792468344,0.79361947,0.793290577,0.608452557,0.725045223,0.746423286,0.730307515,0.753494491,0.755467851,0.762703503,0.767472455,0.754974511,0.756290084,0.748561092,0.755138957
有效性_Precision,0.154761905,0.28,0.147058824,0.3,0.0625,0.071428571,0.345052083,0.20622986,0.201825558,0.161016949,0.221105528,0.181818182,0.651162791,0.25136612,0.183333333,0.127272727,0.526315789,0.297619048,0.777777778,0.346666667,#DIV/0!,0,0.35235732,0.323943662,0.216043756,0.523622047,0.590909091,0.28820656,0.79,0.31307244,0.4,#DIV/0!,0.585858586,0.200176367,0.207451312,0.157598499,0.225177305,0.171945701,0.266129032,0.171717172,0.270588235,#DIV/0!,#DIV/0!,#DIV/0!,0.666666667,#DIV/0!,#DIV/0!,0.564516129,0.25,0.694915254,0.477987421,#DIV/0!,0.519083969,#DIV/0!,0.294155019,0.180672269,0.217573222,0.202702703,0.28,0.181818182,0.227272727,0.125,0,0.19988578,0.198927614,0.206953642,0.158686731,0.126506024,0.192090395,0.199095023,0.164705882,0.572744015,0.543237251,0.45877551,0.389808917,0.456057007,0.369595537,0.258064516,0.333333333,0.266666667,0.205882353,0.223684211,0.256410256,0.38304721,0.302824859,0.362098139,0.183673469,0.322701689,0.418539326,0.474576271,0.217765043,0.437763713,0.104425342,0.399515738,0.298741068,0.63362069,0.396742671,0.583333333,0,0.230769231,0.111111111,0.489010989,0.564499484,0.352040816,0.233160622,0.332721713,0.21747449,0.262944162,0.27238806,0.753246753,0.396825397,0.453703704,0.346926714,0.368421053,0.157894737,0.2,0.208333333,0.3,0.090909091,0.291528632,0.333594976,0.556561086,0.318181818,0.578431373,0.587064677,0.396825397,0.408388521,0.61928934,0.337047354,0.401088929,0.31934033
有效性_Recall,0.010779436,0.016826923,0.004145937,0.007211538,0.000829187,0.000801282,0.43946932,0.15920398,0.159455128,0.047263682,0.070512821,0.028192371,0.023217247,0.036858974,0.009121061,0.005608974,0.008291874,0.040064103,0.005804312,0.020833333,0,0,0.11774461,0.01907131,0.189903846,0.110281924,0.010779436,0.330929487,0.131011609,0.301282051,0.012820513,0,0.371794872,0.188225539,0.196314103,0.069651741,0.101762821,0.031509121,0.052884615,0.028192371,0.036858974,0,0,0,0.001602564,0,0,0.029021559,0.03125,0.033996683,0.060897436,0,0.108974359,0,0.37099359,0.035655058,0.041666667,0.012437811,0.016826923,0.00331675,0.00400641,0.002487562,0,0.290215589,0.297275641,0.103648425,0.092948718,0.017412935,0.02724359,0.036484245,0.033653846,0.25787728,0.196314103,0.466003317,0.245192308,0.47761194,0.212339744,0.013266998,0.013266998,0.003205128,0.005608974,0.014096186,0.008012821,0.2960199,0.222222222,0.177446103,0.044776119,0.142620232,0.123548922,0.067307692,0.060897436,0.332532051,0.271973466,0.410447761,0.728026534,0.487562189,0.487980769,0.005804312,0,0.002403846,0.000801282,0.147595357,0.453565506,0.276442308,0.335820896,0.435897436,0.282752902,0.207532051,0.233974359,0.192371476,0.340544872,0.325041459,0.470352564,0.005804312,0.002403846,0.004145937,0.00400641,0.002487562,0.000801282,0.510779436,0.340544872,0.305970149,0.274839744,0.391376451,0.391376451,0.300480769,0.296474359,0.404643449,0.193910256,0.183250415,0.170673077
有效性_F_Score,0.042153048,0.067829457,0.018628912,0.032894737,0.003937008,0.003834356,0.360544218,0.194726166,0.191640986,0.108695652,0.154929577,0.087001024,0.101596517,0.116161616,0.038035961,0.023841962,0.03900156,0.130208333,0.028180354,0.083979328,#DIV/0!,#DIV/0!,0.251951739,0.077181208,0.2102555,0.299279928,0.050231839,0.295845272,0.393818544,0.31064111,0.056818182,#DIV/0!,0.525362319,0.197666318,0.205123912,0.125823847,0.181221461,0.090909091,0.147321429,0.085085085,0.119294606,#DIV/0!,#DIV/0!,#DIV/0!,0.007936508,#DIV/0!,#DIV/0!,0.120357634,0.104166667,0.142163662,0.201698514,#DIV/0!,0.296167247,#DIV/0!,0.306866384,0.099629286,0.117967332,0.049933422,0.067829457,0.015455951,0.018712575,0.011520737,#DIV/0!,0.213154689,0.213022508,0.172556599,0.139022052,0.056149733,0.086912065,0.105263158,0.092592593,0.460331557,0.401376147,0.460203079,0.348678213,0.46021093,0.32191448,0.055020633,0.057224607,0.01529052,0.025289017,0.056291391,0.035612536,0.361775436,0.282343026,0.299719888,0.113350126,0.257639305,0.283269962,0.214723926,0.143721634,0.411706349,0.119099492,0.401655307,0.338682302,0.597803985,0.412154846,0.027910686,#DIV/0!,0.011538462,0.003894081,0.334335086,0.538173947,0.33378483,0.248344371,0.349255265,0.22800214,0.249614495,0.263728324,0.475799836,0.384128706,0.42042042,0.366142715,0.027301092,0.011329305,0.01914242,0.01860119,0.012038523,0.003869969,0.318906606,0.334962169,0.478227061,0.308453237,0.527964206,0.533695161,0.372911695,0.379720854,0.559889858,0.29368932,0.324046921,0.271961185
有效性_eff_dist,354.4810127,265.8873239,330.6,316.6333333,280.8,328.6428571,190.9563802,352.4895592,303.2986871,356.8025078,297.0732394,378.5762712,92.075,317.9190751,489.9137931,344.7272727,107.7647059,275,59.22222222,305.4444444,#REF!,866.5,260.8211382,278.8125,317.7733888,134.6696035,126.5,285.3051261,74.275,307.2954876,281.4054054,#REF!,349.3766234,357.9333333,301.2662994,358.6564417,306.4057692,347.23,291.4638298,411.0494505,282.0576923,#REF!,#REF!,#REF!,192.6666667,#REF!,#REF!,181.9833333,277.2647059,157.92,181.4913793,#REF!,243.8963964,#REF!,252.4158004,351.5733945,301.6575342,360.4142857,314.7464789,245.2857143,294.5454545,325.6666667,465.625,349.6923555,306.1179245,340.8644689,313.4384384,364.7857143,299.5828571,293.8393782,299.2716049,109.5009208,356.694051,150.7583056,239.8974719,143.2351544,300.7464342,249.8181818,268.8222222,230.2666667,244.516129,292.1690141,261.6944444,180.5837264,375.1062271,327.0247619,460.9659864,379.4383302,310.9771429,303.1525424,431.512894,297.2920354,428.9972936,128.9128306,269.8899924,152.7269181,222.5875744,329.6,375.3333333,285.1818182,271.2857143,134.5208333,206.3113208,252.1183673,271.6683563,283.7253823,272.8877551,434.5524798,223.1772388,97.77739726,266.6395978,134.1793981,285.08933,322.7647059,288.1111111,313.2727273,267.3636364,389.4444444,283.7777778,231.3814482,363.9107374,208.4665272,218.1011236,212.8655693,210.2566248,236.2353644,237.8045113,175.6107872,268.5541985,223.8747731,582.826087
Direction,1,-1,1,-1,1,-1,1,1,-1,1,-1,1,1,-1,1,-1,1,-1,1,-1,1,-1,1,1,-1,1,1,-1,1,-1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,1,-1,-1,1,-1,1,1,1,1,1,1,-1,-1,-1,1,1,1,1,-1,1,1,-1,-1,1,1,-1,1,-1,1,-1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,1,-1,-1,1,-1,1,-1
