,fscore,num_signal,2024-07-31 00:00:00,2024-07-30 00:00:00,2024-07-29 00:00:00,2024-07-26 00:00:00,2024-07-23 00:00:00
領先指標<98,0.30195201301342006,928.0,0.0,0.0,0.0,0.0,0.0
CLI_G20<98,0.29122392758756394,969.0,0.0,0.0,0.0,0.0,0.0
景氣燈號(藍燈),0.3253813696851671,1239.0,0.0,0.0,0.0,0.0,0.0
Kd(月)_D<20,0.28414755732801594,200.0,0.0,0.0,0.0,0.0,0.0
OFR_FSI > 4,0.20064856100526957,932.0,0.0,0.0,0.0,0.0,0.0
收盤<MA(10yr),0.2965986394557823,1536.0,0.0,0.0,0.0,0.0,0.0
景氣燈號(黃藍燈+藍燈),0.28236383274186083,2939.0,0.0,0.0,0.0,0.0,0.0
PMI_TW<47,0.10330578512396696,364.0,0.0,0.0,0.0,0.0,0.0
"百分位數(OFR_FSI,1yr)>0.9_且_OFR_FSI>0",0.22408963585434175,591.0,0.0,0.0,0.0,0.0,0.0
Kd(週)_D<20,0.4140414041404141,254.0,0.0,0.0,0.0,0.0,0.0
subindex_status,0.22189910228853207,9952.0,0.0,0.0,0.0,0.0,0.0
subindex_status_binary,0.3096179183135705,837.0,0.0,0.0,0.0,0.0,0.0
