,fscore,num_signal,2024-07-31 00:00:00,2024-07-30 00:00:00,2024-07-29 00:00:00,2024-07-26 00:00:00,2024-07-23 00:00:00
DIF_MACD(日)連續三期(1d)向上趨勢,0.2018426475936476,1751.0,0.0,0.0,0.0,0.0,0.0
DIF_MACD(日)連續三期(1d)向下趨勢,0.2205628948879953,1865.0,0.0,0.0,1.0,1.0,1.0
"交叉向上(RSI(日,5),RSI(日,10))",0.19972332699291012,1134.0,0.0,0.0,0.0,0.0,0.0
"交叉向下(RSI(日,5),RSI(日,10))",0.21185731033327734,1181.0,0.0,0.0,0.0,1.0,0.0
交叉向下_Kd(日),0.1897514929685993,986.0,0.0,0.0,0.0,0.0,0.0
"交叉向下(RSI(週,5),RSI(週,10))",0.1712817584927203,564.0,0.0,0.0,0.0,0.0,0.0
交叉向上_Kd(日),0.20016093341379984,931.0,0.0,0.0,0.0,0.0,0.0
"交叉向上(RSI(週,5),RSI(週,10))",0.14205386208937537,533.0,0.0,0.0,0.0,0.0,0.0
DIF_MACD(週)連續三期(5d)向上趨勢,0.12469169635516564,604.0,0.0,0.0,0.0,0.0,0.0
交叉向下_Kd(週),0.14441704825642807,398.0,0.0,0.0,0.0,0.0,0.0
subindex_signal,0.25091407678244965,9947.0,0.0,0.0,1.0,2.0,1.0
subindex_signal_binary,0.2226288502592253,2967.0,0.0,0.0,0.0,1.0,0.0
